1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,15Y,20Y,25Y,30Y
79.4,98.2,97.3,94.3,95.6,92.4,89.1,87.5,85.9,84.2,78.1,76.7,75.8,75.6
85.9,99,96,94,92,89,87.5,84.7,84,83.4,80.8,78.6,77.6,77
92.1,98.1,94.1,92.5,90.4,88.2,86.7,84.9,83.8,83.1,80.7,79.1,78.3,77.8
94.6,95.9,92.2,90.7,89.1,87.3,86,84.9,84,83.3,80.8,79.3,78.6,78.2
97.2,95.1,91.7,90,88.6,87,85.8,85,84.3,83.6,81.3,79.7,78.9,78.6
97.6,94.1,91,89.5,88,86.6,85.5,84.9,84.3,83.7,81.3,79.8,79.1,78.8
94.6,92.8,90.4,89.2,87.5,86.3,85.4,84.9,84.3,83.8,81.3,79.9,79.2,79
92.8,91.4,89.7,88.7,87.3,86.2,85.3,84.8,84.3,83.8,81.2,79.9,79.2,78.9
91.1,89.9,88.8,87.9,87,86.1,85.3,84.8,84.3,83.8,81,79.9,79.1,78.9
90.1,89.1,87.9,87.2,86.5,85.9,85.1,84.7,84.2,83.7,80.8,79.6,78.9,78.7
89.2,88.3,87.3,86.8,86.2,85.7,84.9,84.6,84.1,83.6,80.6,79.4,78.6,78.4
88.5,87.8,86.9,86.4,86,85.4,84.8,84.4,83.9,83.5,80.3,79.1,78.4,78.1
87.7,87.3,86.5,86,85.5,85,84.3,83.9,83.4,82.9,79.6,78.5,77.8,77.5
87.1,86.8,86.1,85.6,85.1,84.5,83.8,83.3,82.8,82.3,79,77.9,77.2,76.9
86.8,86.4,85.7,85.2,84.6,84,83.2,83.8,82.2,81.7,78.4,77.3,76.5,76.3
85.3,84.6,83.7,83,82.2,81.5,80.7,80.7,79.6,79,75.7,74.4,73.9,73.8
82.8,82.8,81.5,80.3,79.2,78.6,77.8,77.8,76.8,76.3,73,72,71.6,71.5
80.2,80.9,79.4,78.1,76.7,76.3,75.6,75.6,74.6,73.9,71.1,70.2,69.9,69.8
76.6,79.5,77.7,76.1,74.4,73.8,72.8,72.8,71.3,70.3,67.8,67.2,66.8,66.9
